,genre,genre_full,plot
Yojimbo,Action,"Action, Drama, Thriller",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Dr. No,Action,"Action, Adventure, Thriller",A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.
Wild Guitar,Comedy,"Comedy, Drama, Music","A young Arch Hall, Jr. is given a shot at the big time by the unscrupulous owner of a small record company played by Arch Hall, Sr. (aka William Watters)."
Charade,Comedy,"Comedy, Mystery, Romance",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
"Yesterday, Today and Tomorrow",Comedy,"Comedy, Romance",Stories about three very different women and the men they attract.
The Pink Panther,Comedy,"Comedy, Crime, Romance","The bumbling Inspector Clouseau travels to Rome to catch a notorious jewel thief known as ""The Phantom"" before he conducts his most daring heist yet: a princess' priceless diamond with one slight imperfection, known as ""The Pink Panther""."
The Sword in the Stone,Comedy,"Animation, Adventure, Comedy","A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history."
Youth of the Beast,Action,"Action, Crime, Mystery",A violent thug plays opposing yakuza bosses against each other.
Goldfinger,Action,"Action, Adventure, Thriller","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
A Hard Day's Night,Comedy,"Comedy, Music, Musical","A ""typical"" day in the life of The Beatles, including many of their famous songs."
Mary Poppins,Comedy,"Comedy, Family, Fantasy","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
Juliet of the Spirits,Comedy,"Comedy, Drama, Fantasy","Visions, memories, and mysticism all help a 40-something woman to find the strength to leave her cheating husband."
The Loved One,Comedy,Comedy,"Satire on the funeral business, in which a young British poet goes to work at a Hollywood cemetery."
The Saragossa Manuscript,Comedy,"Adventure, Comedy, Drama","Upon finding a book that relates his grandfather's story, an officer ventures through Spain meeting a wide array of characters, most of whom have a story of their own to tell."
A Thousand Clowns,Comedy,"Comedy, Drama, Romance","A middle-aged iconoclast, doggedly avoiding the tedium of employment and conventional life, faces the prospect of losing custody of his young ward."
The Sword of Doom,Action,"Action, Drama","Through his unconscionable actions against others, a sociopath samurai builds a trail of vendettas that follow him closely."
A Funny Thing Happened on the Way to the Forum,Comedy,"Comedy, Musical",A wily slave must unite a virgin courtesan and his young smitten master to earn his freedom.
Bonnie and Clyde,Action,"Action, Biography, Crime","Bonnie Parker, a bored waitress falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
The Dirty Dozen,Action,"Action, Adventure, War","During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
The Graduate,Comedy,"Comedy, Drama, Romance",A disillusioned college graduate finds himself torn between his older lover and her daughter.
Branded to Kill,Action,"Action, Crime, Drama","After a badly done assignment, a hitman finds himself in conflict with his organisation, and one mysterious and dangerous fellow-hitman in particular."
Playtime,Comedy,Comedy,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction."
Stolen Kisses,Comedy,"Comedy, Drama, Romance","After being discharged from the army, Antoine Doinel centers a screwball comedy where he applies for different jobs and tries to make sense of his relationships with women."
Bullitt,Action,"Action, Crime, Mystery","An all guts, no glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection."
Funny Girl,Comedy,"Biography, Comedy, Drama","The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfield girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein."
The Party,Comedy,Comedy,A clerical mistake results in a bumbling Indian film star being invited to an exclusive Hollywood party instead of being fired.
Putney Swope,Comedy,Comedy,"Dark satire in which the token black man on the executive board of an advertising firm is accidentally put in charge. Renaming the business ""Truth and Soul, Inc."", he replaces the tight ..."
The Wild Bunch,Action,"Action, Adventure, Western","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
Little Big Man,Comedy,"Adventure, Comedy, Drama","Jack Crabb, looking back from extreme old age, tells of his life being raised by Native Americans and fighting with General Custer."
Bedknobs and Broomsticks,Comedy,"Animation, Adventure, Comedy","An apprentice witch, three kids and a cynical conman search for the missing component to a magic spell useful to the defense of Britain."
The French Connection,Action,"Action, Crime, Drama",A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
Harold and Maude,Comedy,"Comedy, Drama, Romance","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
A New Leaf,Comedy,"Comedy, Romance","Henry Graham lives the life of a playboy. When his lawyer tells him one day that his lifestyle has consumed all his funds, he needs an idea to avoid climbing down the social ladder. So he intends to marry a rich woman and - murder her."
The Chinese Connection,Action,"Action, Drama, Romance",A young man seeks vengence for the death of his teacher.
The Life and Times of Judge Roy Bean,Comedy,"Comedy, Drama, Romance","In Vinegaroon, Texas, former outlaw Roy Bean appoints himself the judge for the region and dispenses his brand of justice as he sees fit."
American Graffiti,Comedy,"Comedy, Drama",A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.
Enter the Dragon,Action,"Action, Crime, Drama",A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.
Godzilla vs. Megalon,Action,"Action, Adventure, Family","The undersea nation of Seatopia sends the gigantic Megalon to destroy the world above - and it's up to Godzilla and a size-shifting robot, Jet Jaguar, to defeat him."
Sleeper,Comedy,"Comedy, Sci-Fi",A nerdish store owner is revived out of cryostasis into a future world to fight an oppressive government.
The Sting,Comedy,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.
Amarcord,Comedy,"Comedy, Drama",A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
Blazing Saddles,Comedy,"Comedy, Western","In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
Monty Python and the Holy Grail,Comedy,"Adventure, Comedy, Fantasy","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Young Frankenstein,Comedy,Comedy,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
Female Trouble,Comedy,"Comedy, Crime","A spoiled schoolgirl runs away from home, gets pregnant while hitch-hiking, and ends up as a fashion model for a pair of beauticians who like to photograph women committing crimes."
Grey Gardens,Comedy,"Documentary, Comedy, Drama","An old mother and her middle-aged daughter, the aunt and cousin of Jacqueline Kennedy, live their eccentric lives in a filthy, decaying mansion in East Hampton."
The Rocky Horror Picture Show,Comedy,"Comedy, Musical",A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter.
Murder by Death,Comedy,"Comedy, Mystery, Thriller",Five famous literary detective characters and their sidekicks are invited to a bizarre mansion to solve an even stranger mystery.
Annie Hall,Comedy,"Comedy, Romance",Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.
Desperate Living,Comedy,"Comedy, Crime, Fantasy","A neurotic society woman murders her husband with the help of her maid and, on the lam, escape to Mortville, a homeless community ruled over by a fascist queen."
High Anxiety,Comedy,Comedy,Mel Brooks' parody of Alfred Hitchcock films.
The Kentucky Fried Movie,Comedy,Comedy,"A series of short, highly irreverent, and often tasteless skits."
Foul Play,Comedy,"Comedy, Mystery, Thriller","A shy San Francisco librarian and a bumbling cop fall in love as they solve a crime involving albinos, dwarves, and the Catholic Church."
Animal House,Comedy,Comedy,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him."
Superman,Action,"Action, Adventure, Drama","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero."
The Wild Geese,Action,"Action, Adventure, Drama",A British banker hires a group of British mercenaries to rescue a deposed African President from the hands of a corrupt African dictator.
Being There,Comedy,"Comedy, Drama","A simple, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics."
The Jerk,Comedy,Comedy,An idiotic man struggles to make it through life on his own in St. Louis.
Life of Brian,Comedy,Comedy,"Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah."
Manhattan,Comedy,"Comedy, Drama, Romance",The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
The Warriors,Action,"Action, Crime, Thriller","In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down."
Airplane!,Comedy,Comedy,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
The Blues Brothers,Comedy,"Adventure, Comedy, Crime","Jake Blues, just out from prison, puts together his old band to save the Catholic home where he and brother Elwood were raised."
Caddyshack,Comedy,"Comedy, Sport",An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.
Forbidden Zone,Comedy,"Comedy, Fantasy, Musical",The bizarre and musical tale of a girl who travels to another dimension through the gateway found in her family's basement.
The Gods Must Be Crazy,Comedy,Comedy,"A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries."
Shogun Assassin,Action,"Action, Adventure","When the wife of the Shogun's Decapitator is murdered and he is ordered to commit suicide by the paranoid Shogun, he and his four-year-old son escape and become assassins for hire, embarking on a journey of blood and violent death."
Stardust Memories,Comedy,"Comedy, Drama","While attending a retrospective of his work, a filmmaker recalls his life and his loves: the inspirations for his films."
Time Bandits,Comedy,"Adventure, Comedy, Fantasy","A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal."
An American Werewolf in London,Comedy,"Comedy, Horror",Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.
Gas,Comedy,Comedy,"Susan Anspach stars in this comedy as a news reporter who investigates a story about stolen milk causing milk and gas prices to rise. During the course of her investigation, other people ..."
The Great Muppet Caper,Comedy,"Adventure, Comedy, Crime","Kermit, Gonzo, and Fozzie are reporters who travel to Britain to interview a rich victim of jewel thieves and help her along with her secretary, Miss Piggy."
The Professional,Action,"Action, Crime, Drama","Victim of a plot which has resulted in his imprisonment in a Central African jail for two years, a French secret agent arrives in Paris to settle accounts."
Raiders of the Lost Ark,Action,"Action, Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
Stripes,Comedy,"Comedy, War",Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.
Basket Case,Comedy,"Comedy, Horror",A young man carrying a big basket that contains his extremely deformed Siamese-twin brother seeks vengeance on the doctors who separated them against their will.
Diner,Comedy,"Comedy, Drama",A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore.
The Draughtsman's Contract,Comedy,"Comedy, Drama, History",A young artist is commissioned by the wife of a wealthy landowner to make a series of drawings of the estate while her husband is away.
Fast Times at Ridgemont High,Comedy,"Comedy, Drama","A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll."
Night Shift,Comedy,Comedy,"A morgue attendant is talked into running a brothel at his workplace after a deceased pimp is sent there. However, the pimp's killers don't look too kindly on this new 'business', nor does the morgue's owner."
Tootsie,Comedy,"Comedy, Drama, Romance","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap."
TRON,Action,"Action, Adventure, Sci-Fi",A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.
Victor Victoria,Comedy,"Comedy, Music, Musical","A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life."
A Christmas Story,Comedy,"Comedy, Family","In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
Doctor Detroit,Comedy,Comedy,"A timid college professor, conned into posing as a flamboyant pimp, finds himself enjoying his new occupation on the streets."
The King of Comedy,Comedy,"Comedy, Crime, Drama","Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy."
Local Hero,Comedy,"Comedy, Drama",An American oil company sends a man to Scotland to buy up an entire village where they want to build a refinery. But things don't go as expected.
The Man with Two Brains,Comedy,"Comedy, Romance, Sci-Fi","A brain surgeon marries a femme fatale, causing his life to turn upside down. Things go more awry when he falls in love with a talking brain."
The Meaning of Life,Comedy,"Comedy, Musical",The comedy team takes a look at life in all its stages in their own uniquely silly way.
National Lampoon's Vacation,Comedy,"Adventure, Comedy",The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.
Strange Brew,Comedy,"Comedy, Crime, Sci-Fi","Canada's most famous hosers, Bob and Doug McKenzie, get jobs at the Elsinore Brewery, only to learn that something is rotten with the state of it."
Trading Places,Comedy,Comedy,A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.
Zelig,Comedy,Comedy,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
Dune,Action,"Action, Adventure, Sci-Fi",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.
Electric Dreams,Comedy,"Comedy, Drama, Music",An artificially intelligent PC and his human owner find themselves in a romantic rivalry over a woman.
Gremlins,Comedy,"Comedy, Fantasy, Horror",A boy inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.
Indiana Jones and the Temple of Doom,Action,"Action, Adventure","In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace."
The Karate Kid,Action,"Action, Drama, Family",A martial arts master agrees to teach karate to a bullied teenager.
Repo Man,Comedy,"Comedy, Crime, Sci-Fi","Young punk Otto becomes a repo man after helping to steal a car, and stumbles into a world of wackiness as a result."
Sixteen Candles,Comedy,"Comedy, Romance","A girl's ""sweet"" sixteenth birthday becomes anything but special, as she suffers from every embarrassment possible."
Splash,Comedy,"Comedy, Fantasy, Romance",A young man is reunited with a mermaid who saves him from drowning as a boy and falls in love not knowing who/what she is.
Stranger Than Paradise,Comedy,"Comedy, Drama","A New Yorker's life is thrown into a tailspin when his younger cousin surprise visits him, starting a strange, unpredictable adventure."
This Is Spinal Tap,Comedy,"Comedy, Music","Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
Top Secret!,Comedy,Comedy,Parody of WWII spy movies in which an American rock and roll singer becomes involved in a Resistance plot to rescue a scientist imprisoned in East Germany.
After Hours,Comedy,"Comedy, Crime, Drama",An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.
Back to the Future,Comedy,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Better Off Dead...,Comedy,"Comedy, Romance","A teenager has to deal with his girlfriend dumping him among family crises, homicidal paper boys, and a rival skier."
The Breakfast Club,Comedy,"Comedy, Drama",Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.
Clue,Comedy,"Comedy, Crime, Mystery",Six guests are invited to a strange house and must cooperate with the staff to solve a murder mystery.
Desperately Seeking Susan,Comedy,"Comedy, Drama","A bored suburban housewife, seeking escape from her life, suffers amnesia after an accident, wakes up, and is mistaken for a free-spirited New York City drifter named Susan."
Fandango,Comedy,"Comedy, Drama","Five college buddies from the University of Texas circa 1971 embark on a final road trip odyssey across the Mexican border before facing up to uncertain futures, in Vietnam and otherwise."
Fletch,Comedy,"Comedy, Crime, Mystery","Irwin M. ""Fletch"" Fletcher is a newspaper reporter being offered a large sum to off a cancerous millionaire, but is on the run, risking his job, and finding clues when it's clear the man is healthy."
The Goonies,Comedy,"Adventure, Comedy, Family","In order to save their home from foreclosure, a group of misfits set out to find a pirate's ancient valuable treasure."
Ladyhawke,Comedy,"Adventure, Comedy, Drama","Philipe Gastone, a thief, escapes from the dungeon at Aquila, sparking a manhunt. He is nearly captured when Captain Navarre befriends him. Navarre has been hunted by the Bishop's men for ..."
Mad Max Beyond Thunderdome,Action,"Action, Adventure, Sci-Fi","After being exiled from the most advanced town in post apocalyptic Australia, a drifter travels with a group of abandoned children to rebel against the town's queen."
My Life as a Dog,Comedy,"Drama, Comedy","A boy and his brother don't get along well. In order to let their ill mother rest, they're separated and sent each one with their relatives."
Pee-wee's Big Adventure,Comedy,"Adventure, Comedy, Family","When eccentric man-child Pee-Wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life."
Re-Animator,Comedy,"Comedy, Horror, Sci-Fi",A dedicated student at a medical college and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue when an odd new student arrives on campus.
Real Genius,Comedy,"Comedy, Romance, Sci-Fi","Teenage geniuses deal with their abilities while developing a high-powered laser for a university project. When their professor intends to turn their work into a military weapon, they decide to ruin his plans."
Silverado,Action,"Action, Crime, Drama",A misfit bunch of friends come together to right the injustices which exist in a small town.
Weird Science,Comedy,"Comedy, Romance, Sci-Fi","Two high school nerds attempt to create the perfect woman, but she turns out to be more than that."
Aliens,Action,"Action, Adventure, Sci-Fi","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?"
Down by Law,Comedy,"Comedy, Crime, Drama","Two innocent people are arrested. An interesting third person, with broken English, joins them in their cell. On his idea, they decide to escape from the prison. Their journey is the rest of the movie."
Ferris Bueller's Day Off,Comedy,Comedy,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
Hannah and Her Sisters,Comedy,"Comedy, Drama","Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
Highlander,Action,"Action, Adventure, Fantasy","An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize""."
Jumpin' Jack Flash,Comedy,"Comedy, Romance, Thriller","Terry works for a bank, and uses computers to communicate with clients all over the world. One day she gets a coded message from an unknown source. After decoding the message, Terry becomes..."
Little Shop of Horrors,Comedy,"Comedy, Musical, Romance",A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.
The Money Pit,Comedy,Comedy,A young couple struggles to repair a hopelessly dilapidated house.
My Beautiful Laundrette,Comedy,"Comedy, Drama, Romance",An ambitious Pakistani Briton and his white boyfriend strive for success and hope when they open a glamorous laundromat.
Pretty in Pink,Comedy,"Comedy, Drama, Romance",A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.
Ruthless People,Comedy,"Comedy, Crime","A couple, cheated by a vile businessman, kidnap his wife in retaliation, without knowing that their enemy is delighted they did."
Tampopo,Comedy,Comedy,A truck driver stops at a small family-run noodle shop and decides to help its fledgling business. The story is intertwined with various vignettes about the relationship of love and food.
¡Three Amigos!,Comedy,"Comedy, Western","Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing."
Top Gun,Action,"Action, Drama, Romance","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom."
True Stories,Comedy,"Musical, Comedy","A small but growing Texas town, filled with strange and musical characters, celebrates its sesquicentennial and converge on a local parade and talent show."
Adventures in Babysitting,Comedy,"Adventure, Comedy, Crime",A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.
Baby Boom,Comedy,"Comedy, Drama, Romance",The life of super-yuppie J.C. is thrown into turmoil when she inherits a baby from a distant relative.
Bloodsport,Action,"Action, Biography, Drama","Follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur."
Evil Dead II,Comedy,"Comedy, Horror",The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
The Garbage Pail Kids Movie,Comedy,"Adventure, Comedy, Family",Dodger must confront the struggles of life as he is visited by the Garbage Pail Kids and intimidated by some older bullies.
Law of Desire,Comedy,"Comedy, Drama, Thriller",A film maker's sexual disorientation jeopardizes his latest project.
The Lost Boys,Comedy,"Comedy, Horror","After moving to a new town, two brothers discover that the area is a haven for vampires."
A Taxing Woman,Comedy,"Comedy, Crime","If tax evasion is an art, wheeler-dealer Hideki Gondo is Rembrandt. And so, a determined taxing woman gets the tough assignment of trying to catch him."
Moonstruck,Comedy,"Comedy, Drama, Romance","Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry."
Pathfinder,Action,"Action, Adventure, Drama","Around the year 1000 AD warlike people, the so-called ""tjudes,"" roam in northern Scandinavia. As they brutally kill a family in a remote area, including the parents and their little ..."
Raising Arizona,Comedy,"Comedy, Crime","When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated."
Spaceballs,Comedy,"Adventure, Comedy, Sci-Fi","Planet Spaceballs' President Skroob sends Lord Dark Helmet to steal planet Druidia's abundant supply of air to replenish their own, and only Lone Starr can stop them."
Throw Momma from the Train,Comedy,"Comedy, Crime, Thriller",A bitter ex-husband wants his former spouse dead. A put-upon momma's boy wants his mother dead. Who will pull it off?
Who's That Girl,Comedy,"Comedy, Music, Romance","The life of an uptight tax lawyer turns chaotic when he is asked to escort a young woman newly released from prison, who persuades him to help prove her innocence."
The Witches of Eastwick,Comedy,"Comedy, Fantasy, Horror","Three single women in a picturesque village have their wishes granted, at a cost, when a mysterious and flamboyant man arrives in their lives."
Withnail & I,Comedy,"Comedy, Drama","In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous."
Akira,Action,"Animation, Action, Drama",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.
